step,train_acc,test_acc,train_loss,test_loss,weight_l2_norm,weight_decay,train_frac,seed
0,0.016480594873428345,0.010361317545175552,4.561203956604004,4.58261775970459,57.61592102050781,1.0,0.2,0
100,1.0,0.0003985122311860323,0.35962119698524475,9.366741180419922,63.67386245727539,1.0,0.2,0
200,1.0,0.0005313496221788228,0.04165957495570183,11.40306568145752,63.66103744506836,1.0,0.2,0
300,1.0,0.0003985122311860323,0.030984580516815186,11.229937553405762,61.39468765258789,1.0,0.2,0
400,1.0,0.0003985122311860323,0.02536047250032425,11.100943565368652,59.54479217529297,1.0,0.2,0
500,1.0,0.0001328374055447057,0.021629581227898598,11.015057563781738,58.08533477783203,1.0,0.2,0
600,1.0,0.0001328374055447057,0.018864620476961136,10.960200309753418,56.963783264160156,1.0,0.2,0
700,1.0,0.0001328374055447057,0.016699520871043205,10.93017292022705,56.12133026123047,1.0,0.2,0
800,1.0,0.0002656748110894114,0.014942646957933903,10.915928840637207,55.50774383544922,1.0,0.2,0
900,1.0,0.0002656748110894114,0.013486122712492943,10.916899681091309,55.08055114746094,1.0,0.2,0
1000,1.0,0.0003985122311860323,0.012234999798238277,10.936385154724121,54.80230712890625,1.0,0.2,0
1100,1.0,0.0003985122311860323,0.01114173699170351,10.966082572937012,54.63794708251953,1.0,0.2,0
1200,1.0,0.0003985122311860323,0.010186463594436646,11.000795364379883,54.55667495727539,1.0,0.2,0
1300,1.0,0.0002656748110894114,0.009339834563434124,11.039759635925293,54.539974212646484,1.0,0.2,0
1400,1.0,0.0002656748110894114,0.00859470758587122,11.08685302734375,54.5698356628418,1.0,0.2,0
1500,1.0,0.0002656748110894114,0.007920224219560623,11.137648582458496,54.6326904296875,1.0,0.2,0
1600,1.0,0.0002656748110894114,0.007319723721593618,11.190276145935059,54.7181396484375,1.0,0.2,0
1700,1.0,0.0002656748110894114,0.006778022274374962,11.24744701385498,54.81739807128906,1.0,0.2,0
1800,1.0,0.0002656748110894114,0.0062879580073058605,11.304749488830566,54.924903869628906,1.0,0.2,0
1900,1.0,0.0002656748110894114,0.00584625918418169,11.363701820373535,55.037086486816406,1.0,0.2,0
2000,1.0,0.0002656748110894114,0.00544044328853488,11.426552772521973,55.15029525756836,1.0,0.2,0
2100,1.0,0.0003985122311860323,0.005071468651294708,11.489729881286621,55.26188659667969,1.0,0.2,0
2200,1.0,0.0002656748110894114,0.004730741027742624,11.556424140930176,55.36948776245117,1.0,0.2,0
2300,1.0,0.0003985122311860323,0.004422307014465332,11.622330665588379,55.4717903137207,1.0,0.2,0
2400,1.0,0.0005313496221788228,0.00413857726380229,11.690658569335938,55.5715217590332,1.0,0.2,0
2500,1.0,0.0003985122311860323,0.0038769070524722338,11.760896682739258,55.66653823852539,1.0,0.2,0
2600,1.0,0.0002656748110894114,0.003637753427028656,11.828932762145996,55.75647735595703,1.0,0.2,0
