step,train_acc,test_acc,train_loss,test_loss,weight_l2_norm,weight_decay,train_frac,seed
0,0.013818761333823204,0.01310662366449833,4.566283226013184,4.584975719451904,57.61448287963867,1.0,0.4,0
100,0.8299229145050049,0.0008855827036313713,1.3410673141479492,7.961124420166016,64.69596862792969,1.0,0.4,0
200,1.0,0.000708466162905097,0.06474332511425018,12.077117919921875,69.79964447021484,1.0,0.4,0
300,1.0,0.000708466162905097,0.04414176568388939,11.987462997436523,68.1102294921875,1.0,0.4,0
400,1.0,0.0003542330814525485,0.03604850172996521,11.83831787109375,66.6458511352539,1.0,0.4,0
500,1.0,0.00017711654072627425,0.030803492292761803,11.733550071716309,65.53697967529297,1.0,0.4,0
600,1.0,0.00017711654072627425,0.02694670855998993,11.65938949584961,64.73180389404297,1.0,0.4,0
700,1.0,0.0003542330814525485,0.023907888680696487,11.608525276184082,64.17266845703125,1.0,0.4,0
800,1.0,0.0003542330814525485,0.02147083170711994,11.575221061706543,63.81047058105469,1.0,0.4,0
900,1.0,0.0005313496221788228,0.019422128796577454,11.561027526855469,63.608306884765625,1.0,0.4,0
1000,1.0,0.0005313496221788228,0.017653191462159157,11.556123733520508,63.52473449707031,1.0,0.4,0
1100,1.0,0.0005313496221788228,0.016104869544506073,11.561986923217773,63.528648376464844,1.0,0.4,0
1200,1.0,0.0005313496221788228,0.014740616083145142,11.572735786437988,63.59303665161133,1.0,0.4,0
1300,1.0,0.0003542330814525485,0.013540713116526604,11.586280822753906,63.7019157409668,1.0,0.4,0
1400,1.0,0.00017711654072627425,0.012462055310606956,11.606254577636719,63.84269714355469,1.0,0.4,0
1500,1.0,0.0005313496221788228,0.011511781252920628,11.62763500213623,63.99993896484375,1.0,0.4,0
1600,1.0,0.000708466162905097,0.010651749558746815,11.654093742370605,64.1698226928711,1.0,0.4,0
1700,1.0,0.0005313496221788228,0.009876761585474014,11.679243087768555,64.34517669677734,1.0,0.4,0
1800,1.0,0.0005313496221788228,0.009176421910524368,11.70744800567627,64.52099609375,1.0,0.4,0
1900,1.0,0.000708466162905097,0.008534139953553677,11.738768577575684,64.69474792480469,1.0,0.4,0
2000,1.0,0.0008855827036313713,0.007943889126181602,11.769766807556152,64.86012268066406,1.0,0.4,0
2100,1.0,0.0010626992443576455,0.0074075330048799515,11.798596382141113,65.01492309570312,1.0,0.4,0
2200,1.0,0.000708466162905097,0.006914400961250067,11.829368591308594,65.16130065917969,1.0,0.4,0
2300,1.0,0.0003542330814525485,0.0064607528038322926,11.85995864868164,65.29967498779297,1.0,0.4,0
2400,1.0,0.0003542330814525485,0.006045815534889698,11.888859748840332,65.42737579345703,1.0,0.4,0
2500,1.0,0.0003542330814525485,0.005663490388542414,11.915111541748047,65.54657745361328,1.0,0.4,0
2600,1.0,0.0003542330814525485,0.00531007582321763,11.939693450927734,65.65714263916016,1.0,0.4,0
2700,1.0,0.0003542330814525485,0.004981549456715584,11.962220191955566,65.76013946533203,1.0,0.4,0
2800,1.0,0.0003542330814525485,0.004679965320974588,11.984418869018555,65.85515594482422,1.0,0.4,0
2900,1.0,0.0003542330814525485,0.004400766920298338,12.002115249633789,65.94355010986328,1.0,0.4,0
3000,1.0,0.0003542330814525485,0.0041419644840061665,12.017251968383789,66.02452087402344,1.0,0.4,0
3100,1.0,0.0005313496221788228,0.0038998022209852934,12.029863357543945,66.10005187988281,1.0,0.4,0
3200,1.0,0.000708466162905097,0.003674095729365945,12.040814399719238,66.1703109741211,1.0,0.4,0
3300,1.0,0.0010626992443576455,0.0034656499046832323,12.047528266906738,66.23480224609375,1.0,0.4,0
3400,1.0,0.0012398157268762589,0.003269604407250881,12.050636291503906,66.29718017578125,1.0,0.4,0
3500,1.0,0.0012398157268762589,0.003086522687226534,12.051092147827148,66.35552215576172,1.0,0.4,0
3600,1.0,0.0012398157268762589,0.002914955373853445,12.046329498291016,66.40860748291016,1.0,0.4,0
3700,1.0,0.0012398157268762589,0.002755917375907302,12.037064552307129,66.45767211914062,1.0,0.4,0
3800,1.0,0.001416932325810194,0.002607637085020542,12.027015686035156,66.5060806274414,1.0,0.4,0
3900,1.0,0.001416932325810194,0.0024670539423823357,12.01524543762207,66.55381774902344,1.0,0.4,0
4000,1.0,0.0015940489247441292,0.0023347039241343737,11.996729850769043,66.59872436523438,1.0,0.4,0
4100,1.0,0.0012398157268762589,0.0022094990126788616,11.96971607208252,66.63922882080078,1.0,0.4,0
4200,1.0,0.0012398157268762589,0.002091596834361553,11.934805870056152,66.6739273071289,1.0,0.4,0
4300,1.0,0.0010626992443576455,0.0019811606034636497,11.890726089477539,66.70369720458984,1.0,0.4,0
4400,1.0,0.0012398157268762589,0.0018768340814858675,11.8405122756958,66.73072814941406,1.0,0.4,0
4500,1.0,0.001416932325810194,0.0017786766402423382,11.78056812286377,66.75294494628906,1.0,0.4,0
4600,1.0,0.001416932325810194,0.0016861103940755129,11.717320442199707,66.77123260498047,1.0,0.4,0
4700,1.0,0.0015940489247441292,0.0015971061075106263,11.642390251159668,66.7835693359375,1.0,0.4,0
4800,1.0,0.0017711654072627425,0.0015116672730073333,11.547219276428223,66.78543853759766,1.0,0.4,0
4900,1.0,0.0019482818897813559,0.0014313234714791179,11.4363374710083,66.77581024169922,1.0,0.4,0
5000,1.0,0.002302515087649226,0.0013557791244238615,11.309903144836426,66.75530242919922,1.0,0.4,0
5100,1.0,0.002125398488715291,0.001284141093492508,11.16699504852295,66.72402954101562,1.0,0.4,0
5200,1.0,0.002302515087649226,0.0012153502320870757,11.004938125610352,66.6819839477539,1.0,0.4,0
5300,1.0,0.0031880978494882584,0.0011506518349051476,10.823935508728027,66.62803649902344,1.0,0.4,0
5400,1.0,0.0038965637795627117,0.001087909215129912,10.619610786437988,66.56006622314453,1.0,0.4,0
5500,1.0,0.004959262907505035,0.001028744620271027,10.401066780090332,66.47655487060547,1.0,0.4,0
5600,1.0,0.0067304284311831,0.0009719597874209285,10.15992546081543,66.375732421875,1.0,0.4,0
5700,1.0,0.007616011425852776,0.0009181915665976703,9.899232864379883,66.2597427368164,1.0,0.4,0
5800,1.0,0.009564293548464775,0.0008677769801579416,9.623575210571289,66.1287612915039,1.0,0.4,0
5900,1.0,0.011689691804349422,0.0008193776593543589,9.336416244506836,65.9847412109375,1.0,0.4,0
6000,1.0,0.013637973926961422,0.0007732610683888197,9.026776313781738,65.82427215576172,1.0,0.4,0
6100,1.0,0.017003187909722328,0.0007299009012058377,8.696697235107422,65.64749908447266,1.0,0.4,0
6200,1.0,0.021253984421491623,0.0006868392811156809,8.344551086425781,65.45298767089844,1.0,0.4,0
6300,1.0,0.026567481458187103,0.000645386113319546,7.964401721954346,65.23047637939453,1.0,0.4,0
6400,1.0,0.0324123278260231,0.000604982313234359,7.546032905578613,64.97244262695312,1.0,0.4,0
6500,1.0,0.04162238538265228,0.0005665823700837791,7.09297513961792,64.67599487304688,1.0,0.4,0
6600,1.0,0.05012398213148117,0.0005308747058734298,6.623845100402832,64.34868621826172,1.0,0.4,0
6700,1.0,0.06429330259561539,0.000495867570862174,6.139062881469727,63.989112854003906,1.0,0.4,0
6800,1.0,0.08324477076530457,0.0004631904303096235,5.650300979614258,63.593284606933594,1.0,0.4,0
6900,1.0,0.10485298931598663,0.000432863220339641,5.163542747497559,63.16836929321289,1.0,0.4,0
7000,1.0,0.13372299075126648,0.0004041965294163674,4.69327974319458,62.72004318237305,1.0,0.4,0
7100,1.0,0.1693234145641327,0.0003768450114876032,4.243483543395996,62.251220703125,1.0,0.4,0
7200,1.0,0.20775769650936127,0.0003510912065394223,3.817446231842041,61.759098052978516,1.0,0.4,0
7300,1.0,0.25008854269981384,0.000326468056300655,3.409287929534912,61.242271423339844,1.0,0.4,0
7400,1.0,0.2956075072288513,0.0003035194822587073,3.023374557495117,60.706485748291016,1.0,0.4,0
7500,1.0,0.34396031498908997,0.0002823925169650465,2.66361403465271,60.152889251708984,1.0,0.4,0
7600,1.0,0.3969181776046753,0.0002625658526085317,2.326749324798584,59.590293884277344,1.0,0.4,0
7700,1.0,0.45749202370643616,0.00024378157104365528,2.0114312171936035,59.01923370361328,1.0,0.4,0
7800,1.0,0.5251505374908447,0.0002254948194604367,1.7037545442581177,58.436676025390625,1.0,0.4,0
7900,1.0,0.5899751782417297,0.0002076833334285766,1.3959474563598633,57.82823944091797,1.0,0.4,0
8000,1.0,0.6657810807228088,0.00018971608369611204,1.0838626623153687,57.1782341003418,1.0,0.4,0
8100,1.0,0.7488487362861633,0.0001719794818200171,0.7785422205924988,56.465843200683594,1.0,0.4,0
8200,1.0,0.834750235080719,0.0001552222965983674,0.5021470785140991,55.67686462402344,1.0,0.4,0
8300,1.0,0.9057739973068237,0.00013946223771199584,0.2838108241558075,54.816650390625,1.0,0.4,0
8400,1.0,0.9580233693122864,0.00012503250036388636,0.13942959904670715,53.89090347290039,1.0,0.4,0
8500,1.0,0.9831739068031311,0.00011232649558223784,0.05999676510691643,52.92097473144531,1.0,0.4,0
8600,1.0,0.9961034059524536,0.00010078001650981605,0.021804917603731155,51.9216194152832,1.0,0.4,0
8700,1.0,0.9992915391921997,9.075504931388423e-05,0.007206108421087265,50.91404724121094,1.0,0.4,0
8800,1.0,1.0,8.244307537097484e-05,0.002293537138029933,49.92084884643555,1.0,0.4,0
8900,1.0,1.0,7.557482604170218e-05,0.0008934139623306692,48.97780990600586,1.0,0.4,0
9000,1.0,1.0,6.998738535912707e-05,0.0004688340413849801,48.110023498535156,1.0,0.4,0
9100,1.0,1.0,6.526979996124282e-05,0.0003014060202986002,47.33429718017578,1.0,0.4,0
9200,1.0,1.0,6.109617970651016e-05,0.00021776142239104956,46.65037155151367,1.0,0.4,0
9300,1.0,1.0,5.7321038184454665e-05,0.00016963046800810844,46.04899597167969,1.0,0.4,0
9400,1.0,1.0,5.385153053794056e-05,0.0001387332595186308,45.52113342285156,1.0,0.4,0
