step,train_acc,test_acc,train_loss,test_loss,weight_l2_norm,weight_decay,train_frac,seed
0,0.014615997672080994,0.007793127559125423,4.56677770614624,4.584382057189941,57.02458190917969,1.0,0.4,4
100,0.8312516808509827,0.00017711654072627425,1.343772292137146,7.860867500305176,64.3105697631836,1.0,0.4,4
200,1.0,0.0010626992443576455,0.06464449316263199,11.852193832397461,69.53005981445312,1.0,0.4,4
300,1.0,0.000708466162905097,0.044488489627838135,11.780937194824219,67.8865966796875,1.0,0.4,4
400,1.0,0.0003542330814525485,0.03633091598749161,11.652188301086426,66.47175598144531,1.0,0.4,4
500,1.0,0.0003542330814525485,0.03101470321416855,11.558612823486328,65.40391540527344,1.0,0.4,4
600,1.0,0.0003542330814525485,0.027107540518045425,11.487075805664062,64.6341552734375,1.0,0.4,4
700,1.0,0.00017711654072627425,0.024054739624261856,11.43734359741211,64.10870361328125,1.0,0.4,4
800,1.0,0.0003542330814525485,0.021569255739450455,11.405939102172852,63.771968841552734,1.0,0.4,4
900,1.0,0.0003542330814525485,0.01950017921626568,11.388279914855957,63.58427429199219,1.0,0.4,4
1000,1.0,0.0003542330814525485,0.017706038430333138,11.381118774414062,63.51298141479492,1.0,0.4,4
1100,1.0,0.0003542330814525485,0.01617293432354927,11.382089614868164,63.52515411376953,1.0,0.4,4
1200,1.0,0.0003542330814525485,0.014817580580711365,11.391584396362305,63.59882354736328,1.0,0.4,4
1300,1.0,0.0005313496221788228,0.013622426427900791,11.409736633300781,63.71443176269531,1.0,0.4,4
1400,1.0,0.0005313496221788228,0.012554285116493702,11.43310832977295,63.85880661010742,1.0,0.4,4
1500,1.0,0.0003542330814525485,0.011596966534852982,11.457008361816406,64.02091217041016,1.0,0.4,4
1600,1.0,0.00017711654072627425,0.010729116387665272,11.485857009887695,64.19316864013672,1.0,0.4,4
1700,1.0,0.0003542330814525485,0.009936853311955929,11.518058776855469,64.36961364746094,1.0,0.4,4
1800,1.0,0.0003542330814525485,0.009220773354172707,11.550227165222168,64.54121398925781,1.0,0.4,4
1900,1.0,0.00017711654072627425,0.008570306934416294,11.583656311035156,64.70840454101562,1.0,0.4,4
2000,1.0,0.00017711654072627425,0.007974090054631233,11.615214347839355,64.86872100830078,1.0,0.4,4
2100,1.0,0.00017711654072627425,0.007427694275975227,11.644883155822754,65.0201187133789,1.0,0.4,4
2200,1.0,0.0003542330814525485,0.006929324008524418,11.677984237670898,65.16073608398438,1.0,0.4,4
2300,1.0,0.0,0.006470367778092623,11.708610534667969,65.2916030883789,1.0,0.4,4
2400,1.0,0.0,0.006050653290003538,11.737576484680176,65.41140747070312,1.0,0.4,4
2500,1.0,0.0,0.005665261298418045,11.769859313964844,65.52365112304688,1.0,0.4,4
2600,1.0,0.00017711654072627425,0.005305652040988207,11.798431396484375,65.6290283203125,1.0,0.4,4
2700,1.0,0.00017711654072627425,0.004975431133061647,11.821818351745605,65.72509765625,1.0,0.4,4
2800,1.0,0.0005313496221788228,0.004667732398957014,11.84062385559082,65.81411743164062,1.0,0.4,4
2900,1.0,0.0005313496221788228,0.004384809639304876,11.857717514038086,65.89385223388672,1.0,0.4,4
3000,1.0,0.000708466162905097,0.004124358296394348,11.873922348022461,65.9687271118164,1.0,0.4,4
3100,1.0,0.0008855827036313713,0.0038839117623865604,11.884323120117188,66.03889465332031,1.0,0.4,4
3200,1.0,0.0010626992443576455,0.003659701906144619,11.892659187316895,66.10421752929688,1.0,0.4,4
3300,1.0,0.0008855827036313713,0.0034521236084401608,11.898560523986816,66.16411590576172,1.0,0.4,4
