step,train_acc,test_acc,train_loss,test_loss,weight_l2_norm,weight_decay,train_frac,seed
0,0.015411868691444397,0.01089266687631607,4.569596290588379,4.586894512176514,57.613040924072266,1.0,0.6,0
100,0.6471213102340698,0.0,1.9606074094772339,7.319096088409424,65.43041229248047,1.0,0.6,0
200,1.0,0.0002656748110894114,0.10504309087991714,11.885369300842285,73.62076568603516,1.0,0.6,0
300,1.0,0.0002656748110894114,0.060618024319410324,12.030916213989258,72.5411148071289,1.0,0.6,0
400,1.0,0.0002656748110894114,0.04896719753742218,11.859943389892578,71.24144744873047,1.0,0.6,0
500,1.0,0.0007970244623720646,0.04181094840168953,11.715577125549316,70.2402572631836,1.0,0.6,0
600,1.0,0.0005313496221788228,0.03668319806456566,11.589343070983887,69.50911712646484,1.0,0.6,0
700,1.0,0.0007970244623720646,0.03261969983577728,11.481224060058594,68.99788665771484,1.0,0.6,0
800,1.0,0.0010626992443576455,0.029243387281894684,11.376687049865723,68.65656280517578,1.0,0.6,0
900,1.0,0.0010626992443576455,0.0264273788779974,11.275362014770508,68.44094848632812,1.0,0.6,0
1000,1.0,0.0013283740263432264,0.023994429036974907,11.172569274902344,68.31721496582031,1.0,0.6,0
1100,1.0,0.0013283740263432264,0.021878568455576897,11.067216873168945,68.25528717041016,1.0,0.6,0
1200,1.0,0.0010626992443576455,0.019990721717476845,10.944181442260742,68.24020385742188,1.0,0.6,0
1300,1.0,0.0007970244623720646,0.018275411799550056,10.799519538879395,68.24693298339844,1.0,0.6,0
1400,1.0,0.0013283740263432264,0.016725605353713036,10.626338958740234,68.25315856933594,1.0,0.6,0
1500,1.0,0.0023910733871161938,0.015313521027565002,10.420790672302246,68.25022888183594,1.0,0.6,0
1600,1.0,0.0023910733871161938,0.01400685217231512,10.169063568115234,68.22067260742188,1.0,0.6,0
1700,1.0,0.0029224229510873556,0.012783030979335308,9.861015319824219,68.15250396728516,1.0,0.6,0
1800,1.0,0.004250796977430582,0.0116213234141469,9.478459358215332,68.02288055419922,1.0,0.6,0
1900,1.0,0.006376195698976517,0.010558130219578743,9.008302688598633,67.81529998779297,1.0,0.6,0
2000,1.0,0.008235919289290905,0.009562395513057709,8.458647727966309,67.53508758544922,1.0,0.6,0
2100,1.0,0.0124867158010602,0.008602158166468143,7.808953762054443,67.1527099609375,1.0,0.6,0
2200,1.0,0.0220510084182024,0.007689478807151318,7.044568061828613,66.6495132446289,1.0,0.6,0
2300,1.0,0.03852284699678421,0.006849478464573622,6.1930646896362305,66.01505279541016,1.0,0.6,0
2400,1.0,0.06827842444181442,0.006047794129699469,5.27943229675293,65.24238586425781,1.0,0.6,0
2500,1.0,0.12221041321754456,0.005257575307041407,4.312543869018555,64.31446838378906,1.0,0.6,0
2600,1.0,0.22794899344444275,0.004366632550954819,3.2421720027923584,63.168067932128906,1.0,0.6,0
2700,1.0,0.40967056155204773,0.0033687169197946787,2.051736831665039,61.65818405151367,1.0,0.6,0
2800,1.0,0.6934112310409546,0.00242487876676023,0.9375587105751038,59.63460159301758,1.0,0.6,0
2900,1.0,0.9311901926994324,0.0017734772991389036,0.2883872091770172,57.19015884399414,1.0,0.6,0
3000,1.0,0.9952178597450256,0.001381482696160674,0.06803272664546967,54.58144760131836,1.0,0.6,0
3100,1.0,1.0,0.0011660961899906397,0.017603375017642975,52.04711151123047,1.0,0.6,0
3200,1.0,1.0,0.0010415763827040792,0.006676444783806801,49.7491569519043,1.0,0.6,0
3300,1.0,1.0,0.0009568511741235852,0.003536887001246214,47.74467849731445,1.0,0.6,0
3400,1.0,1.0,0.0008906737202778459,0.0023154988884925842,46.03611755371094,1.0,0.6,0
