step,train_acc,test_acc,weight_l2_norm
4700,1.0,0.0015940489247441292,66.49779510498047
4800,1.0,0.0017711654072627425,66.46800994873047
4900,1.0,0.0017711654072627425,66.42818450927734
5000,1.0,0.002302515087649226,66.37506103515625
5100,1.0,0.003010981250554323,66.30801391601562
5200,1.0,0.0031880978494882584,66.22786712646484
5300,1.0,0.0047821467742323875,66.1396484375
5400,1.0,0.005844845902174711,66.04161834716797
5500,1.0,0.006376195698976517,65.93668365478516
5600,1.0,0.008855827152729034,65.82501220703125
5700,1.0,0.009918526746332645,65.70410919189453
5800,1.0,0.012929507531225681,65.57156372070312
5900,1.0,0.014700672589242458,65.42723083496094
6000,1.0,0.017003187909722328,65.26712799072266
6100,1.0,0.02036840282380581,65.08512878417969
6200,1.0,0.025327665731310844,64.88102722167969
6300,1.0,0.0324123278260231,64.64987182617188
6400,1.0,0.03931987285614014,64.38784790039062
6500,1.0,0.0499468632042408,64.09468841552734
6600,1.0,0.06500177085399628,63.769187927246094
6700,1.0,0.08306765556335449,63.40500259399414
6800,1.0,0.10998937487602234,63.00663757324219
6900,1.0,0.14080765843391418,62.57663345336914
7000,1.0,0.17693942785263062,62.1243782043457
7100,1.0,0.2127169668674469,61.64968490600586
7200,1.0,0.2530995309352875,61.14817810058594
7300,1.0,0.30251505970954895,60.62610626220703
7400,1.0,0.353347510099411,60.09056854248047
7500,1.0,0.4100247919559479,59.538360595703125
7600,1.0,0.47254693508148193,58.963626861572266
7700,1.0,0.5490612983703613,58.35774612426758
7800,1.0,0.6344314813613892,57.68275833129883
7900,1.0,0.7263549566268921,56.909854888916016
8000,1.0,0.8266028761863708,56.011695861816406
8100,1.0,0.9105561375617981,54.969356536865234
8200,1.0,0.9681190252304077,53.81245040893555
8300,1.0,0.9939780235290527,52.58709716796875
8400,1.0,0.9992915391921997,51.36463165283203
8500,1.0,1.0,50.19086456298828
8600,1.0,1.0,49.080108642578125
8700,1.0,1.0,48.029998779296875
8800,1.0,1.0,47.031185150146484
8900,1.0,1.0,46.087127685546875
9000,1.0,1.0,45.23338317871094
9100,1.0,1.0,44.519622802734375
9200,1.0,1.0,43.95595932006836
9300,1.0,1.0,43.5176887512207
9400,1.0,1.0,43.17535400390625
9500,1.0,1.0,42.90655517578125
9600,1.0,1.0,42.69548034667969
9700,1.0,1.0,42.53093719482422
9800,1.0,1.0,42.403568267822266
9900,1.0,1.0,42.30643844604492
10000,1.0,1.0,42.234039306640625
10100,1.0,1.0,42.181884765625
10200,1.0,1.0,42.146080017089844
10300,1.0,1.0,42.123573303222656
10400,1.0,1.0,42.111724853515625
10500,1.0,1.0,42.10837173461914
10600,1.0,1.0,42.11191177368164
10700,1.0,1.0,42.12126541137695
10800,1.0,1.0,42.1351318359375
10900,1.0,1.0,42.152442932128906
11000,1.0,1.0,42.17287826538086
11100,1.0,1.0,42.19569396972656
11200,1.0,1.0,42.220176696777344
11300,1.0,1.0,42.245880126953125
11400,1.0,1.0,42.272674560546875
11500,1.0,1.0,42.29999542236328
11600,1.0,1.0,42.32823181152344
11700,1.0,1.0,42.357032775878906
11800,1.0,1.0,42.3853759765625
11900,1.0,1.0,42.41461181640625
12000,1.0,1.0,42.44304275512695
12100,1.0,1.0,42.47171401977539
12200,1.0,1.0,42.49979019165039
12300,1.0,1.0,42.52788162231445
12400,1.0,1.0,42.555904388427734
12500,1.0,1.0,42.58271408081055
12600,1.0,1.0,42.609771728515625
12700,1.0,1.0,42.63619613647461
12800,1.0,1.0,42.6623649597168
12900,1.0,1.0,42.6872444152832
13000,1.0,1.0,42.71206283569336
13100,1.0,1.0,42.73665237426758
13200,1.0,1.0,42.759971618652344
13300,1.0,1.0,42.782711029052734
13400,1.0,1.0,42.8048095703125
13500,1.0,1.0,42.825321197509766
13600,1.0,1.0,42.84453582763672
13700,1.0,1.0,42.86380386352539
13800,1.0,1.0,42.88189697265625
13900,1.0,1.0,42.8995361328125
14000,1.0,1.0,42.915985107421875
14100,1.0,1.0,42.93186569213867
14200,1.0,1.0,42.94577407836914
14300,1.0,1.0,42.95951461791992
14400,1.0,1.0,42.972042083740234
14500,1.0,1.0,42.98231887817383
14600,1.0,1.0,42.99115753173828
14700,1.0,1.0,42.99957275390625
14800,1.0,1.0,43.00593566894531
14900,1.0,1.0,43.011077880859375
15000,1.0,1.0,43.017356872558594
15100,1.0,1.0,43.02165603637695
15200,1.0,1.0,43.022342681884766
15300,1.0,1.0,43.02317810058594
15400,1.0,1.0,43.02220153808594
15500,1.0,1.0,43.02019119262695
15600,1.0,1.0,43.01626968383789
15700,1.0,1.0,43.01137924194336
15800,1.0,1.0,43.00502014160156
15900,1.0,1.0,42.99716567993164
16000,1.0,1.0,42.988834381103516
16100,1.0,1.0,42.97929763793945
16200,1.0,1.0,42.967586517333984
16300,1.0,1.0,42.95550537109375
16400,1.0,1.0,42.9410285949707
16500,1.0,1.0,42.9299430847168
16600,1.0,1.0,42.915428161621094
16700,1.0,1.0,42.901493072509766
16800,1.0,1.0,42.887001037597656
16900,1.0,1.0,42.87101745605469
17000,1.0,1.0,42.85657501220703
17100,1.0,1.0,42.840301513671875
17200,1.0,1.0,42.823463439941406
17300,1.0,1.0,42.803810119628906
17400,1.0,1.0,42.78524398803711
17500,1.0,1.0,42.76472091674805
17600,1.0,1.0,42.741432189941406
17700,1.0,1.0,42.718284606933594
17800,1.0,1.0,42.69232177734375
17900,1.0,1.0,42.66474533081055
18000,1.0,1.0,42.63534164428711
18100,1.0,1.0,42.60530471801758
18200,1.0,1.0,42.57460021972656
18300,1.0,1.0,42.54423904418945
18400,1.0,1.0,42.51149368286133
18500,1.0,1.0,42.47915267944336
18600,1.0,1.0,42.445220947265625
18700,1.0,1.0,42.412574768066406
18800,1.0,1.0,42.38035583496094
18900,1.0,1.0,42.3487663269043
19000,1.0,1.0,42.317962646484375
19100,1.0,1.0,42.2867431640625
19200,1.0,1.0,42.25748062133789
19300,1.0,1.0,42.231040954589844
19400,1.0,1.0,42.208160400390625
19500,1.0,1.0,42.190006256103516
19600,1.0,1.0,42.175907135009766
19700,1.0,1.0,42.170135498046875
19800,1.0,1.0,42.17624282836914
19900,1.0,1.0,42.19764709472656
19999,1.0,1.0,42.23830032348633
