step,train_acc,test_acc,weight_l2_norm
0,0.013818761333823204,0.013106624595820904,57.614479064941406
100,0.8307201862335205,0.0008855827036313713,64.69247436523438
200,1.0,0.0003542330814525485,69.81010437011719
300,1.0,0.0003542330814525485,68.11906433105469
400,1.0,0.000708466162905097,66.65032958984375
500,1.0,0.0005313496221788228,65.53683471679688
600,1.0,0.0003542330814525485,64.72742462158203
700,1.0,0.0003542330814525485,64.16666412353516
800,1.0,0.0003542330814525485,63.80482482910156
900,1.0,0.0003542330814525485,63.59451675415039
1000,1.0,0.0003542330814525485,63.50230407714844
1100,1.0,0.000708466162905097,63.50133514404297
1200,1.0,0.0003542330814525485,63.56602478027344
1300,1.0,0.0003542330814525485,63.67240905761719
1400,1.0,0.0003542330814525485,63.81057357788086
1500,1.0,0.0005313496221788228,63.96925735473633
1600,1.0,0.0005313496221788228,64.13858032226562
1700,1.0,0.0003542330814525485,64.31375122070312
1800,1.0,0.0003542330814525485,64.48700714111328
1900,1.0,0.000708466162905097,64.65544891357422
2000,1.0,0.000708466162905097,64.81925201416016
2100,1.0,0.0005313496221788228,64.97213745117188
2200,1.0,0.0003542330814525485,65.11693572998047
2300,1.0,0.0003542330814525485,65.25331115722656
2400,1.0,0.0003542330814525485,65.37943267822266
2500,1.0,0.000708466162905097,65.49702453613281
2600,1.0,0.000708466162905097,65.60823822021484
2700,1.0,0.000708466162905097,65.71089935302734
2800,1.0,0.000708466162905097,65.8064193725586
2900,1.0,0.000708466162905097,65.89460754394531
3000,1.0,0.000708466162905097,65.97622680664062
3100,1.0,0.000708466162905097,66.05065155029297
3200,1.0,0.0003542330814525485,66.11985778808594
3300,1.0,0.0003542330814525485,66.18350982666016
3400,1.0,0.0005313496221788228,66.24176025390625
3500,1.0,0.0003542330814525485,66.29483795166016
3600,1.0,0.0005313496221788228,66.34244537353516
3700,1.0,0.0005313496221788228,66.38460540771484
3800,1.0,0.000708466162905097,66.42135620117188
3900,1.0,0.000708466162905097,66.45108795166016
4000,1.0,0.000708466162905097,66.47565460205078
4100,1.0,0.000708466162905097,66.49636840820312
4200,1.0,0.0005313496221788228,66.51415252685547
4300,1.0,0.000708466162905097,66.52627563476562
4400,1.0,0.0010626992443576455,66.5303955078125
4500,1.0,0.0012398158432915807,66.52780151367188
4600,1.0,0.001416932325810194,66.51600646972656
