step,train_acc,test_acc,train_loss,test_loss,weight_l2_norm,weight_decay,train_frac,seed
0,0.016300495713949203,0.010930621065199375,4.5640764236450195,4.583747863769531,57.61603546142578,1.0,0.3,0
100,0.9468461871147156,0.00045544252498075366,0.8834966421127319,8.56070327758789,64.24368286132812,1.0,0.3,0
200,1.0,0.00045544252498075366,0.052359819412231445,11.922649383544922,67.033935546875,1.0,0.3,0
300,1.0,0.0003036283596884459,0.0376172810792923,11.762866020202637,65.05242919921875,1.0,0.3,0
400,1.0,0.0003036283596884459,0.030803758651018143,11.611656188964844,63.416404724121094,1.0,0.3,0
500,1.0,0.0003036283596884459,0.02627570554614067,11.50133228302002,62.155643463134766,1.0,0.3,0
600,1.0,0.0003036283596884459,0.02295699343085289,11.422381401062012,61.212646484375,1.0,0.3,0
700,1.0,0.00015181417984422296,0.02034640684723854,11.373705863952637,60.53468322753906,1.0,0.3,0
800,1.0,0.00015181417984422296,0.018216127529740334,11.342957496643066,60.06999969482422,1.0,0.3,0
900,1.0,0.00015181417984422296,0.016434216871857643,11.323665618896484,59.77303695678711,1.0,0.3,0
1000,1.0,0.00015181417984422296,0.01492169126868248,11.314749717712402,59.60663986206055,1.0,0.3,0
1100,1.0,0.00015181417984422296,0.013628284446895123,11.317483901977539,59.53957748413086,1.0,0.3,0
1200,1.0,0.00045544252498075366,0.01247871108353138,11.333343505859375,59.55183410644531,1.0,0.3,0
1300,1.0,0.0003036283596884459,0.011460389941930771,11.35578441619873,59.61818313598633,1.0,0.3,0
1400,1.0,0.0003036283596884459,0.010567239485681057,11.386347770690918,59.722434997558594,1.0,0.3,0
1500,1.0,0.00015181417984422296,0.009761791676282883,11.425300598144531,59.854251861572266,1.0,0.3,0
1600,1.0,0.0003036283596884459,0.009041737765073776,11.468034744262695,60.00246047973633,1.0,0.3,0
1700,1.0,0.0003036283596884459,0.00838396418839693,11.51507568359375,60.16062545776367,1.0,0.3,0
1800,1.0,0.00045544252498075366,0.007784329820424318,11.56383991241455,60.321048736572266,1.0,0.3,0
1900,1.0,0.0006072567193768919,0.007241770159453154,11.613893508911133,60.477657318115234,1.0,0.3,0
2000,1.0,0.0006072567193768919,0.006745194550603628,11.663686752319336,60.63027572631836,1.0,0.3,0
2100,1.0,0.00075907091377303,0.006294949911534786,11.714681625366211,60.77867889404297,1.0,0.3,0
2200,1.0,0.00075907091377303,0.005877090618014336,11.767667770385742,60.919315338134766,1.0,0.3,0
2300,1.0,0.00075907091377303,0.005496397148817778,11.820993423461914,61.05095672607422,1.0,0.3,0
2400,1.0,0.00075907091377303,0.005143973510712385,11.873437881469727,61.17416000366211,1.0,0.3,0
2500,1.0,0.0006072567193768919,0.004816919565200806,11.92471694946289,61.28904342651367,1.0,0.3,0
2600,1.0,0.00075907091377303,0.004519170615822077,11.972575187683105,61.3967399597168,1.0,0.3,0
2700,1.0,0.00075907091377303,0.004244133830070496,12.019147872924805,61.4992790222168,1.0,0.3,0
2800,1.0,0.00075907091377303,0.0039883144199848175,12.067432403564453,61.595481872558594,1.0,0.3,0
2900,1.0,0.00075907091377303,0.003750261152163148,12.113746643066406,61.685482025146484,1.0,0.3,0
3000,1.0,0.00075907091377303,0.0035304445773363113,12.162764549255371,61.7695426940918,1.0,0.3,0
3100,1.0,0.0009108850499615073,0.0033250723499804735,12.210739135742188,61.849449157714844,1.0,0.3,0
3200,1.0,0.00075907091377303,0.003135607112199068,12.255993843078613,61.92442321777344,1.0,0.3,0
3300,1.0,0.00075907091377303,0.002956981537863612,12.30174446105957,61.99473571777344,1.0,0.3,0
3400,1.0,0.0010626992443576455,0.0027933018282055855,12.347818374633789,62.06039810180664,1.0,0.3,0
3500,1.0,0.0012145134387537837,0.0026402620133012533,12.390833854675293,62.125572204589844,1.0,0.3,0
3600,1.0,0.0012145134387537837,0.0024967771023511887,12.432682991027832,62.1897087097168,1.0,0.3,0
3700,1.0,0.001366327633149922,0.002362084574997425,12.47628116607666,62.252471923828125,1.0,0.3,0
3800,1.0,0.0010626992443576455,0.002235089661553502,12.52149486541748,62.31406784057617,1.0,0.3,0
3900,1.0,0.0010626992443576455,0.002116474322974682,12.565516471862793,62.37412643432617,1.0,0.3,0
4000,1.0,0.0010626992443576455,0.002006423193961382,12.6100435256958,62.4335823059082,1.0,0.3,0
4100,1.0,0.0010626992443576455,0.001902143470942974,12.65215015411377,62.49297332763672,1.0,0.3,0
4200,1.0,0.00075907091377303,0.0018041852163150907,12.691478729248047,62.55092239379883,1.0,0.3,0
4300,1.0,0.0006072567193768919,0.001712258905172348,12.7313232421875,62.608768463134766,1.0,0.3,0
