step,train_acc,test_acc,train_loss,test_loss,weight_l2_norm,weight_decay,train_frac,seed
0,0.013818761333823204,0.013106624595820904,4.566276550292969,4.58502197265625,57.66638946533203,0.1,0.4,0
100,0.9035344123840332,0.000708466162905097,0.9844442009925842,8.632369995117188,69.66177368164062,0.1,0.4,0
200,1.0,0.0008855827036313713,0.024095159024000168,14.227286338806152,77.22618103027344,0.1,0.4,0
300,1.0,0.000708466162905097,0.010001489892601967,15.39465618133545,78.21705627441406,0.1,0.4,0
400,1.0,0.0005313496221788228,0.0060774763114750385,16.003454208374023,78.60612487792969,0.1,0.4,0
500,1.0,0.0005313496221788228,0.004320948850363493,16.383745193481445,78.76549530029297,0.1,0.4,0
600,1.0,0.0005313496221788228,0.0033464874140918255,16.642169952392578,78.80667877197266,0.1,0.4,0
700,1.0,0.0005313496221788228,0.0027346962597221136,16.82670021057129,78.77849578857422,0.1,0.4,0
800,1.0,0.0005313496221788228,0.0023161156568676233,16.962966918945312,78.70750427246094,0.1,0.4,0
900,1.0,0.0005313496221788228,0.0020112674683332443,17.06558609008789,78.60900115966797,0.1,0.4,0
1000,1.0,0.0005313496221788228,0.0017786609241738915,17.145587921142578,78.4925308227539,0.1,0.4,0
1100,1.0,0.0005313496221788228,0.0015943655744194984,17.208261489868164,78.3646469116211,0.1,0.4,0
1200,1.0,0.000708466162905097,0.0014436814235523343,17.25982093811035,78.2300796508789,0.1,0.4,0
1300,1.0,0.000708466162905097,0.0013177578803151846,17.302486419677734,78.09170532226562,0.1,0.4,0
1400,1.0,0.000708466162905097,0.0012103634653612971,17.338638305664062,77.9519271850586,0.1,0.4,0
1500,1.0,0.000708466162905097,0.0011168558849021792,17.370086669921875,77.81208801269531,0.1,0.4,0
1600,1.0,0.000708466162905097,0.0010346292983740568,17.398853302001953,77.67327117919922,0.1,0.4,0
1700,1.0,0.000708466162905097,0.0009618451585993171,17.42608642578125,77.5364761352539,0.1,0.4,0
1800,1.0,0.000708466162905097,0.0008965504239313304,17.452917098999023,77.40234375,0.1,0.4,0
1900,1.0,0.000708466162905097,0.0008377563790418208,17.478153228759766,77.27124786376953,0.1,0.4,0
2000,1.0,0.000708466162905097,0.0007841606275178492,17.502727508544922,77.14362335205078,0.1,0.4,0
