step,train_acc,test_acc,train_loss,test_loss,weight_l2_norm,weight_decay,train_frac,seed
0,0.016210470348596573,0.009032943286001682,4.568126678466797,4.583433151245117,58.80469512939453,1.0,0.4,1
100,0.8501195907592773,0.0003542330814525485,1.296709656715393,7.905168056488037,65.80076599121094,1.0,0.4,1
200,1.0,0.0005313496221788228,0.06274291127920151,11.852448463439941,70.48948669433594,1.0,0.4,1
300,1.0,0.0003542330814525485,0.04346027597784996,11.748641014099121,68.63557434082031,1.0,0.4,1
400,1.0,0.0003542330814525485,0.0355483815073967,11.601495742797852,67.05219268798828,1.0,0.4,1
500,1.0,0.00017711654072627425,0.03042302094399929,11.493863105773926,65.84110260009766,1.0,0.4,1
600,1.0,0.0003542330814525485,0.026590928435325623,11.416341781616211,64.95008850097656,1.0,0.4,1
700,1.0,0.0003542330814525485,0.02360088936984539,11.360811233520508,64.3160171508789,1.0,0.4,1
800,1.0,0.0005313496221788228,0.021169425919651985,11.32003116607666,63.8900260925293,1.0,0.4,1
900,1.0,0.0005313496221788228,0.019126996397972107,11.286081314086914,63.62535858154297,1.0,0.4,1
1000,1.0,0.0005313496221788228,0.017365362495183945,11.264411926269531,63.483848571777344,1.0,0.4,1
1100,1.0,0.0005313496221788228,0.015848029404878616,11.249577522277832,63.436279296875,1.0,0.4,1
1200,1.0,0.0005313496221788228,0.014514767564833164,11.243819236755371,63.458255767822266,1.0,0.4,1
1300,1.0,0.0008855827036313713,0.013324880041182041,11.238993644714355,63.52946853637695,1.0,0.4,1
1400,1.0,0.000708466162905097,0.012276369147002697,11.23715877532959,63.635459899902344,1.0,0.4,1
1500,1.0,0.0005313496221788228,0.011346160434186459,11.239681243896484,63.765445709228516,1.0,0.4,1
1600,1.0,0.0005313496221788228,0.010501340962946415,11.243295669555664,63.90967559814453,1.0,0.4,1
1700,1.0,0.000708466162905097,0.00973429623991251,11.251660346984863,64.06018829345703,1.0,0.4,1
1800,1.0,0.0003542330814525485,0.009032243862748146,11.263480186462402,64.21109008789062,1.0,0.4,1
1900,1.0,0.000708466162905097,0.008399036712944508,11.275293350219727,64.35578918457031,1.0,0.4,1
2000,1.0,0.000708466162905097,0.007819095626473427,11.287518501281738,64.49532318115234,1.0,0.4,1
2100,1.0,0.0005313496221788228,0.007283540442585945,11.297430992126465,64.62825012207031,1.0,0.4,1
2200,1.0,0.0005313496221788228,0.006794552784413099,11.30146312713623,64.75220489501953,1.0,0.4,1
2300,1.0,0.000708466162905097,0.0063435533083975315,11.303238868713379,64.86744689941406,1.0,0.4,1
2400,1.0,0.0005313496221788228,0.005928962957113981,11.29954719543457,64.97091674804688,1.0,0.4,1
2500,1.0,0.0003542330814525485,0.005546626169234514,11.295185089111328,65.06495666503906,1.0,0.4,1
2600,1.0,0.0003542330814525485,0.0051940931007266045,11.29377555847168,65.14969635009766,1.0,0.4,1
2700,1.0,0.0005313496221788228,0.004872196353971958,11.287453651428223,65.22653198242188,1.0,0.4,1
2800,1.0,0.0005313496221788228,0.004570611286908388,11.273249626159668,65.294677734375,1.0,0.4,1
2900,1.0,0.0003542330814525485,0.004290226846933365,11.249017715454102,65.35388946533203,1.0,0.4,1
3000,1.0,0.0005313496221788228,0.0040288143791258335,11.214180946350098,65.40269470214844,1.0,0.4,1
3100,1.0,0.000708466162905097,0.0037859829608350992,11.16984748840332,65.44202423095703,1.0,0.4,1
3200,1.0,0.000708466162905097,0.0035601395647972822,11.117107391357422,65.4719467163086,1.0,0.4,1
3300,1.0,0.0010626992443576455,0.0033507365733385086,11.052770614624023,65.49305725097656,1.0,0.4,1
3400,1.0,0.0010626992443576455,0.003154605161398649,10.980939865112305,65.5068359375,1.0,0.4,1
3500,1.0,0.0010626992443576455,0.0029702114406973124,10.896349906921387,65.5125732421875,1.0,0.4,1
3600,1.0,0.0010626992443576455,0.002799259964376688,10.8035888671875,65.50938415527344,1.0,0.4,1
3700,1.0,0.0012398157268762589,0.0026387714315205812,10.699630737304688,65.49630737304688,1.0,0.4,1
